
Id01      ;Eve            ;PREMIER        ;19/08/88       ;eve.premier@labas.fr          ;     ;F    ;40983,3 g      ;France             ;Europe         ;               ;31°C           ;638,76 cm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Id02      ;Claire         ;SOLEIL         ;10/02/65       ;claire.soleil@gmail.com       ;A-   ;F    ;44456,57 g     ;                   ;               ;               ;               ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Id03      ;Rose           ;PARIS          ;20/08/74       ;                              ;A+   ;F    ;50723,21 g     ;                   ;Afrique        ;               ;39°C           ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Id04      ;Mamadou        ;TROPFOR        ;10/02/65       ;mamadou.tropfor@hotmail.com   ;     ;M    ;91,11 KG       ;Qatar              ;Asie           ;             10;26,93°C        ;10,96 m                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Id05      ;Mamadou        ;DELOIN         ;19/08/88       ;mamadou.deloin@gmail.com      ;B-   ;M    ;58,74 KG       ;Tunisie            ;Afrique        ;             46;               ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Id06      ;Médecin        ;PLUS BELLE     ;03/01/75       ;                              ;A+   ;M    ;66,94 KG       ;Tunisie            ;Afrique        ;              9;               ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Id07      ;Ibrahim        ;SPORTIF        ;17/08/69       ;ibrahim.sportif@gmail.com     ;B-   ;M    ;86,33 KG       ;Algérie            ;Afrique        ;             33;41,44°C        ;9,22 m                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Id08      ;Kenza          ;MIGNONNE       ;18/05/60       ;kenza.mignonne@hotmail.com    ;     ;F    ;63159,57 g     ;Brésil             ;Amérique       ;               ;44°C           ;736,84 cm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Id09      ;Inès           ;TROPFOR        ;27/11/99       ;inès.tropfor@yahoo.fr         ;     ;     ;40983,3 g      ;Espagne            ;               ;               ;33°C           ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Id10      ;Rayan          ;FORT           ;24/06/95       ;rayan.fort@hotmail.com        ;     ;M    ;88,87 KG       ;                   ;Afrique        ;             74;26,26°C        ;20,97 m                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Id11      ;Marie          ;FORT           ;06/08/74       ;                              ;     ;     ;72425,34 g     ;Algérie            ;Afrique        ;               ;31°C           ;476,25 cm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Id12      ;Médecin        ;PLUS BELLE     ;18/05/60       ;                              ;AB+  ;M    ;82,68 KG       ;Tunisie            ;Afrique        ;             60;20,9°C         ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Id13      ;Omar           ;GRANDE         ;25/02/95       ;omar.grande@yahoo.fr          ;A+   ;M    ;64,63 KG       ;                   ;               ;             53;26,26°C        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Id14      ;Adam           ;GRANDE         ;21/05/69       ;adam.grande@hotmail.com       ;     ;M    ;66,94 KG       ;Espagne            ;               ;             24;41,44°C        ;13,28 m                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Id15      ;Alain          ;AIMANT         ;21/01/79       ;                              ;B+   ;     ;64,54 KG       ;Chine              ;Asie           ;             47;41,44°C        ;13,28 m                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Id16      ;Rayan          ;MIGNONNE       ;10/02/65       ;rayan.mignonne@hotmail.com    ;A+   ;M    ;88,87 KG       ;Qatar              ;Asie           ;             10;15,67°C        ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Id17      ;Faouzi         ;UNIQUE         ;27/11/99       ;faouzi.unique@gmail.com       ;AB-  ;M    ;               ;Belgique           ;Europe         ;             62;25,32°C        ;13,28 m                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Id18      ;Fleurette      ;PREMIER        ;21/01/79       ;fleurette.premier@hotmail.com ;     ;F    ;44456,57 g     ;Allemagne          ;Europe         ;               ;48°C           ;679,87 cm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
